#,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_per_1M_pop,deaths_per_1M_pop,total_tests,tests_per_1M_pop,population
,World,"7,824,268","+97,175","430,566","+2,877","4,013,338","3,380,364","54,040","1,004",55.2,,,
,North America,"2,446,378","+25,280","143,840","+1,018","1,044,221","1,258,317","19,394",,,,,
,Europe,"2,189,997","+15,352","182,578",+511,"1,158,320","849,099","6,707",,,,,
1,USA,"2,134,926","+18,004","117,241",+416,"846,777","1,170,908","16,719","6,452",354,"24,089,355","72,798","330,906,997"
,Asia,"1,577,622","+38,937","39,479",+742,"965,933","572,210","15,432",,,,,
,South America,"1,365,806","+10,362","58,272",+428,"727,498","580,036","11,977",,,,,
2,Brazil,"832,866","+2,964","42,055",+154,"427,610","363,201","8,318","3,920",198,"1,476,057","6,947","212,483,982"
3,Russia,"520,129","+8,706","6,829",+114,"274,641","238,659","2,300","3,564",47,"14,574,117","99,870","145,931,552"
4,India,"321,626","+12,023","9,205",+315,"162,326","150,095","8,944",233,7,"5,507,182","3,993","1,379,307,780"
5,UK,"294,375","+1,425","41,662",+181,N/A,N/A,492,"4,337",614,"6,624,676","97,610","67,868,549"
6,Spain,"290,685",+396,"27,136",,N/A,N/A,617,"6,217",580,"4,465,338","95,507","46,753,936"
7,Italy,"236,651",+346,"34,301",+78,"174,865","27,485",220,"3,914",567,"4,564,191","75,484","60,465,875"
,Africa,"234,831","+7,232","6,258",+178,"108,315","120,258",524,,,,,
8,Peru,"220,749",,"6,308",,"107,133","107,308","1,089","6,700",191,"1,315,417","39,925","32,947,280"
9,Germany,"187,376",+125,"8,865",+2,"171,900","6,611",447,"2,237",106,"4,694,147","56,035","83,771,107"
10,Iran,"184,955","+2,410","8,730",+71,"146,748","29,477","2,755","2,204",104,"1,219,400","14,528","83,936,074"
11,Turkey,"176,677","+1,459","4,792",+14,"150,087","21,798",684,"2,096",57,"2,586,995","30,691","84,292,030"
12,Chile,"167,355","+6,509","3,101",+231,"137,296","26,958","1,656","8,758",162,"819,999","42,914","19,107,883"
13,France,"156,813",+526,"29,398",+24,"72,808","54,607",871,"2,403",450,"1,384,633","21,215","65,266,664"
14,Mexico,"139,196","+5,222","16,448",+504,"101,767","20,981",378,"1,080",128,"393,714","3,055","128,862,724"
15,Pakistan,"132,405","+6,472","2,551",+88,"50,056","79,798",111,600,12,"839,019","3,802","220,650,245"
16,Saudi Arabia,"123,308","+3,366",932,+39,"82,548","39,828","1,843","3,545",27,"1,087,021","31,250","34,784,389"
17,Canada,"98,368",+425,"8,105",+56,"59,333","30,930","1,929","2,607",215,"2,072,096","54,926","37,725,348"
18,Bangladesh,"84,379","+2,856","1,139",+44,"17,828","65,412",1,513,7,"489,960","2,977","164,605,029"
19,China,"83,075",+11,"4,634",,"78,367",74,,58,3,,,"1,439,323,776"
20,Qatar,"78,416","+1,828",70,,"55,252","23,094",232,"27,928",25,"286,830","102,155","2,807,805"
21,South Africa,"65,736","+3,809","1,423",+69,"36,850","27,463",208,"1,109",24,"1,087,887","18,355","59,269,206"
22,Belgium,"59,918",+99,"9,650",+4,"16,547","33,721",88,"5,171",833,"1,010,059","87,170","11,587,177"
23,Belarus,"53,241",+721,303,+5,"29,111","23,827",92,"5,634",32,"714,324","75,594","9,449,466"
24,Sweden,"50,931",+180,"4,874",+20,N/A,N/A,272,"5,045",483,"325,000","32,190","10,096,150"
25,Netherlands,"48,640",+179,"6,057",+4,N/A,N/A,77,"2,839",354,"455,067","26,561","17,133,075"
26,Colombia,"46,858",,"1,545",,"18,715","26,598",335,921,30,"470,351","9,249","50,854,810"
